Mission_Name,Launch_Date_Normalized,Launch_Year,Decade,Country_Group,Country,Agency,Launch_Vehicle,Rocket_Family,Launch_Site,Launch_Complex,Mission_Type,Orbit_Class,Satellite_Mass_kg,Mission_Outcome,Spacecraft_Status,Estimated_Cost_USD_M,Fuel_Type,Operational_Life_Years,Notes,Launch_ID,Data_Source,Dataset_Source
GEOS 1,4/20/1977,1977,1970s,Europe_ESA,Europe (ESA),ESA,Delta 2914,Delta,Cape Canaveral,,Other,Other,574,Failure,Lost/Failed,175,Solid,7,Rocket underperformance; reached elliptical orbit not GEO; science data collected,,,ENRICHED
Meteosat 1,11/23/1977,1977,1970s,Europe_ESA,Europe (ESA),ESA,Delta 2914,Delta,Cape Canaveral,,Weather/Meteorology,GEO,697,Success,Decommissioned,175,Solid,10,Europe's first geostationary weather satellite; began Meteosat series,,,ENRICHED
IUE (International UV Explorer),1/26/1978,1978,1970s,Europe_ESA,Europe (ESA),ESA,Delta 2914,Delta,Cape Canaveral,,Other,GEO,669,Success,Decommissioned,175,Solid,7,Joint ESA/NASA/UK; observed 10,,,ENRICHED
Ariane 1 First Flight,12/24/1979,1979,1970s,Europe_ESA,Europe (ESA),ESA,Ariane 1,Ariane,Kourou,,Technology/Test,GTO,1600,Success,Decommissioned,175,Liquid,3,First Ariane rocket; Europe's own access to space; launched CAT-1 demo payload,,,ENRICHED
Ariane 1 Flight 1,12/24/1979,1979,1970s,Europe_ESA,EUR,ESA,Ariane 1,Ariane,Kourou,Kourou,Technology/Test,GTO,,Success,,,,,First Ariane rocket flight,EUR-1979,International Space Agencies Database,CLEANED_COMPLETE
Marecs-A,12/20/1981,1981,1980s,Europe_ESA,Europe (ESA),ESA,Ariane 1,Ariane,Kourou,,Communication,GEO,1045,Success,Decommissioned,175,Liquid,15,Maritime European Communication Satellite for shipping navigation,,,ENRICHED
Exosat,5/26/1983,1983,1980s,Europe_ESA,Europe (ESA),ESA,Delta 3914,Delta,Vandenberg AFB,,Other,HEO/Elliptical,468,Success,Decommissioned,60,Solid,7,X-ray observatory; studied neutron stars,,,ENRICHED
Giotto,7/2/1985,1985,1980s,Europe_ESA,Europe (ESA),ESA,Ariane 1,Ariane,Kourou,,Other,Heliocentric,950,Success,Decommissioned,179,Liquid,8,Flew within 596 km of Comet Halley nucleus; captured first comet nucleus images,,,ENRICHED
SPOT 1,2/22/1986,1986,1980s,Europe_ESA,Europe (France/ESA),CNES,Ariane 1,Ariane,Kourou,,Earth Observation,SSO,1700,Success,Decommissioned,175,Liquid,8,First European commercial Earth observation satellite; 10m resolution,,,ENRICHED
Hipparcos,8/8/1989,1989,1980s,Europe_ESA,Europe (ESA),ESA,Ariane 4,Ariane,Kourou,,Other,Other,1140,Success,Other,175,Liquid,7,Computer error left satellite in wrong orbit; still measured positions of 120,,,ENRICHED
Hubble (ESA contribution),4/24/1990,1990,1990s,Europe_ESA,Europe (ESA),ESA,Space Shuttle Discovery,Space,Kennedy Space Center,,Other,LEO,11110,Success,Active,1750,Solid,35,ESA provided 15% funding and solar arrays; receives 15% of observation time,,,ENRICHED
Ulysses,10/6/1990,1990,1990s,Europe_ESA,Europe (ESA),ESA,Space Shuttle + IUS,Space,Kennedy Space Center,,Other,Polar,370,Success,Decommissioned,750,Solid,18.6,Only spacecraft to study Sun's poles; joint ESA/NASA; operated 18.5 years,,,ENRICHED
ERS-1 (Earth Resources Satellite),7/17/1991,1991,1990s,Europe_ESA,Europe (ESA),ESA,Ariane 4,Ariane,Kourou,,Earth Observation,SSO,2384,Success,Decommissioned,325,Liquid,8,First ESA SAR satellite; ice sheet,,,ENRICHED
ERS-2,4/21/1995,1995,1990s,Europe_ESA,Europe (ESA),ESA,Ariane 4,Ariane,Kourou,,Earth Observation,SSO,2516,Success,Decommissioned,325,Liquid,8,Tandem with ERS-1 for radar interferometry; studied ice,,,ENRICHED
ISO (Infrared Space Observatory),11/17/1995,1995,1990s,Europe_ESA,Europe (ESA),ESA,Ariane 4,Ariane,Kourou,,Other,HEO/Elliptical,2498,Success,Decommissioned,325,Liquid,7,First infrared space observatory; discovered water in solar system objects; operated 2.5 years,,,ENRICHED
SOHO (Solar and Heliospheric Observatory),12/2/1995,1995,1990s,Europe_ESA,Europe (ESA),ESA,Atlas IIAS,Atlas,Cape Canaveral,,Other,Other,1850,Success,Active,1000,Solid,30,Joint ESA/NASA solar observatory; continuous Sun monitoring since 1995; discovered 4000+ comets,,,ENRICHED
SAX (BeppoSAX),4/30/1996,1996,1990s,Europe_ESA,Europe (Italy),ASI,Atlas I,Atlas,Cape Canaveral,,Other,LEO,1400,Success,Decommissioned,175,Liquid,7,Identified gamma-ray burst sources; revolutionized high-energy astrophysics,,,ENRICHED
Envisat,3/1/2002,2002,2000s,Europe_ESA,Europe (ESA),ESA,Ariane 5,Ariane,Kourou,,Earth Observation,SSO,8211,Success,Other,950,Solid,8,Largest Earth observation satellite; sudden failure 2012; 10 years operation,,,ENRICHED
SPOT 5,5/4/2002,2002,2000s,Europe_ESA,Europe (France),CNES,Ariane 4,Ariane,Kourou,,Earth Observation,SSO,3032,Success,Decommissioned,325,Liquid,8,2.5m resolution imagery; commercial mapping and intelligence,,,ENRICHED
DMC (Disaster Monitoring Constellation),2002-2015,2002,2000s,Europe_ESA,Europe (UK),SSTL,Various,Various,Various,,Earth Observation,SSO,,Success,Decommissioned,17.5,,8,UK-led international disaster monitoring constellation; 32m resolution; rapid revisit,,,ENRICHED
Mars Express,6/2/2003,2003,2000s,Europe_ESA,Europe (ESA),ESA,Soyuz-FG/Fregat,Soyuz-FG/Fregat,Baikonur,,Planetary Science,Mars/Interplanetary,1122,Success,Active,300,Liquid,21,Orbiting Mars since 2003; discovered subsurface water ice; longest ESA planetary mission,,,ENRICHED
Beagle 2 (on Mars Express),6/2/2003,2003,2000s,Europe_ESA,Europe (ESA),ESA,Soyuz-FG,Soyuz-FG,Baikonur,,Planetary Science,Mars/Interplanetary,69,Failure,Lost/Failed,17.5,Liquid,7,British Mars lander; failed to fully deploy solar panels after landing; found by MRO in 2015,,,ENRICHED
Rosetta,3/2/2004,2004,2000s,Europe_ESA,Europe (ESA),ESA,Ariane 5,Ariane,Kourou,,Other,Heliocentric,2900,Success,Decommissioned,1400,Liquid,12,First mission to orbit a comet; Philae lander made first comet landing; 10-year journey,,,ENRICHED
TopSat,10/27/2005,2005,2000s,Europe_ESA,Europe (UK),SSTL/ESA,Kosmos-3M,Kosmos-3M,Plesetsk,,Earth Observation,SSO,120,Success,Decommissioned,60,,8,UK compact very high resolution (2.8m) satellite; technology demonstration,,,ENRICHED
Venus Express,11/9/2005,2005,2000s,Europe_ESA,Europe (ESA),ESA,Soyuz-FG,Soyuz-FG,Baikonur,,Planetary Science,Mars/Interplanetary,1270,Success,Decommissioned,220,Liquid,8,First Venus orbiter; studied atmosphere,,,ENRICHED
Corot,12/27/2006,2006,2000s,Europe_ESA,Europe (ESA),ESA,Soyuz-2.1b,Soyuz-2.1b,Baikonur,,Other,Polar,630,Success,Decommissioned,175,Liquid,7,First space telescope to find rocky exoplanets; discovered 600+ planet candidates,,,ENRICHED
COSMO-SkyMed 1,6/7/2007,2007,2000s,Europe_ESA,Europe (Italy),ASI,Delta 7420,Delta,Vandenberg AFB,,Earth Observation,SSO,1800,Success,Decommissioned,175,Solid,8,Italian military/civilian radar satellite; 1m resolution; all-weather day/night,,,ENRICHED
TerraSAR-X,6/15/2007,2007,2000s,Europe_ESA,Europe (Germany),DLR,Dnepr,Dnepr,Baikonur,,Earth Observation,SSO,1230,Success,Decommissioned,175,Liquid,8,1m radar imaging satellite; extremely precise land change detection,,,ENRICHED
Columbus Laboratory (ISS),2/7/2008,2008,2000s,Europe_ESA,Europe (ESA),ESA,Space Shuttle Atlantis,Space,Kennedy Space Center,,Other,Other,12800,Success,Decommissioned,950,Solid,7,Europe's permanent laboratory on ISS; launched by NASA; 16+ years operation,,,ENRICHED
ATV-1 Jules Verne,3/9/2008,2008,2000s,Europe_ESA,Europe (ESA),ESA,Ariane 5,Ariane,Kourou,,Other,LEO,19360,Success,Decommissioned,1800,Liquid,0.333,First European ISS cargo vehicle; 7,,,ENRICHED
GOCE,3/17/2009,2009,2000s,Europe_ESA,Europe (ESA),ESA,Rockot,Rockot,Plesetsk,,Other,Other,1077,Success,Decommissioned,175,Liquid,7,Measured Earth gravity with unprecedented precision; discovered ocean circulation patterns,,,ENRICHED
Herschel Space Observatory,5/14/2009,2009,2000s,Europe_ESA,Europe (ESA),ESA,Ariane 5,Ariane,Kourou,,Other,Other,3400,Success,Decommissioned,1400,Liquid,3.7,Largest infrared telescope; studied star formation and galaxy evolution; 3-year life,,,ENRICHED
Planck,5/14/2009,2009,2000s,Europe_ESA,Europe (ESA),ESA,Ariane 5,Ariane,Kourou,,Other,Other,1950,Success,Decommissioned,700,Liquid,4.5,Mapped Cosmic Microwave Background; most precise CMB map; confirmed Big Bang model,,,ENRICHED
Cryosat-2,4/8/2010,2010,2010s,Europe_ESA,Europe (ESA),ESA,Rockot,Rockot,Plesetsk,,Other,Polar,720,Success,Active,140,Liquid,15,Measuring Arctic and Antarctic ice thickness changes; still operational,,,ENRICHED
TanDEM-X,6/21/2010,2010,2010s,Europe_ESA,Europe (Germany),DLR,Dnepr,Dnepr,Baikonur,,Other,SSO,1350,Success,Decommissioned,175,Liquid,7,Formation flying with TerraSAR-X; created most accurate global 3D terrain map,,,ENRICHED
Pléiades 1A,12/17/2011,2011,2010s,Europe_ESA,Europe (France),CNES,Soyuz,Soyuz,Kourou,,Earth Observation,SSO,970,Success,Decommissioned,175,Liquid,8,Very high resolution (50cm) optical satellite for defense and commercial use,,,ENRICHED
Gaia,12/19/2013,2013,2010s,Europe_ESA,Europe (ESA),ESA,Soyuz-STB,Soyuz-STB,Kourou,,Other,Other,2030,Success,Active,740,Liquid,11,Mapping billion stars with parallax; created most detailed 3D Milky Way map; still operational,,,ENRICHED
Sentinel 1A,4/3/2014,2014,2010s,Europe_ESA,Europe (ESA),ESA,Soyuz-STA,Soyuz-STA,Kourou,,Earth Observation,SSO,2300,Success,Active,400,Liquid,10,C-band SAR for land,,,ENRICHED
Sentinel 2A,6/23/2015,2015,2010s,Europe_ESA,Europe (ESA),ESA,Vega,Vega,Kourou,,Earth Observation,SSO,1140,Success,Active,290,Solid,10,High-res multispectral imaging; agricultural monitoring and land management,,,ENRICHED
Lisa Pathfinder,12/3/2015,2015,2010s,Europe_ESA,Europe (ESA),ESA,Vega,Vega,Kourou,,Technology/Test,Other,1910,Success,Decommissioned,175,Solid,3,Demonstrated technology for detecting gravitational waves from space; paved way for LISA,,,ENRICHED
Sentinel 3A,2/16/2016,2016,2010s,Europe_ESA,Europe (ESA),ESA,Rockot,Rockot,Plesetsk,,Earth Observation,SSO,1250,Success,Decommissioned,175,Liquid,8,Ocean color,,,ENRICHED
ExoMars TGO,3/14/2016,2016,2010s,Europe_ESA,Europe (ESA),ESA,Proton-M,Proton-M,Baikonur,,Planetary Science,Mars/Interplanetary,4332,Success,Active,1300,Liquid,8,Trace Gas Orbiter; detected methane variations and water vapor in Mars atmosphere,,,ENRICHED
Schiaparelli (EDM),3/14/2016,2016,2010s,Europe_ESA,Europe (ESA),ESA,Proton-M,Proton-M,Baikonur,,Planetary Science,Mars/Interplanetary,577,Failure,Lost/Failed,175,Liquid,3,Crashed on Mars due to IMU saturation error; on-board computers crashed 1 minute before landing,,,ENRICHED
BepiColombo,10/20/2018,2018,2010s,Europe_ESA,Europe (ESA),ESA,Ariane 5,Ariane,Kourou,,Other,Other,4215,Active/Planned,Active,1650,Ion/Electric,7,Joint ESA-JAXA Mercury mission; 2 orbiters; arrived Mercury 2025; will orbit Dec 2025,,,ENRICHED
